gNa,gto,gCaL,gKr,gKs,gK1,"gb,Na","gb,Ca",gKur,INaCa(max),INaK(max),"Ip,Ca(max)",Iup(max),krel,[Cmdn]max,[Trpn]max,[Csqn]max,"tau,tr"
9.6074892737,0.1451839349,0.1096527864,0.0348490459,0.1365222323,0.071432816,0.0007650771,0.0009545092,0.8605744529,1790.0711192545,0.7016604681,0.2398880399,0.0051597823,30.2183809615,0.0538874773,0.0691478808,10.632837495,169.1296872606
7.0587976791,0.1474132475,0.1012605968,0.0331663681,0.1483980468,0.0733810721,0.0005421521,0.0008724538,1.07710184,1937.993567744,0.6427033904,0.3326834564,0.003881946,30.8164178989,0.0612973668,0.067515058,11.4925487832,224.436690857
9.7097736397,0.1378645208,0.0950777087,0.0356328073,0.1026525907,0.1020911674,0.0008169636,0.0009168904,0.9296790103,1862.2387407885,0.6236895247,0.2373796151,0.0044965974,30.7037119324,0.0421456012,0.0828393567,8.0316562114,174.4934165339
9.1613627678,0.1711075783,0.1283629455,0.0281840211,0.0980948285,0.0699094041,0.0007150864,0.0013225069,0.7509482624,1251.4920025572,0.557179185,0.2076451884,0.0055306922,23.0342557111,0.0458049076,0.0853665923,8.3282358896,218.1776593666
7.2366766949,0.1647398838,0.1544533396,0.0227866642,0.129634766,0.0884849676,0.0005730103,0.0012727583,1.1643316627,1561.2166522866,0.6635231765,0.3338381561,0.0061895802,32.5587423422,0.047939635,0.0724907281,9.4534288948,166.9979957934
6.1114546684,0.1263436131,0.1449394808,0.0292524843,0.1468571325,0.1108567211,0.0005918612,0.0013632896,1.0618079514,1352.8439898643,0.4587921645,0.3260337056,0.0058433269,36.7386653645,0.0516638488,0.0709428895,12.4519006056,141.1717582552
7.7582730237,0.1817370064,0.1368523124,0.0341135454,0.1197005522,0.0813661542,0.0005266659,0.0011697926,0.8574353268,1585.9570085573,0.5221538215,0.2951460649,0.0044619222,36.1018675172,0.0571246584,0.0757661124,7.6425409439,222.3341561638
9.2446701811,0.1690416437,0.1461596229,0.0279332554,0.114189011,0.0881874276,0.0006457992,0.0013400383,0.9849247258,1764.7924774083,0.4836241736,0.3018998338,0.0045465021,24.7418434204,0.0408970298,0.0684380796,10.1052741508,169.6096032049
8.9032300297,0.1688974068,0.0990128809,0.0233824819,0.1065788733,0.1041148895,0.0006821165,0.0010948357,1.1143592888,1783.5329469756,0.6135120207,0.2449037202,0.003830277,33.721073158,0.0572301144,0.0690553889,11.6146979412,191.4480370194
6.4593461383,0.1341423743,0.1480321882,0.0365189521,0.1218120149,0.0756324884,0.0007724849,0.001381286,0.906562495,1708.5571948127,0.5537536195,0.3426423313,0.0051812015,29.3199829664,0.0548870799,0.0537609569,8.520024203,186.7134802967
9.5186836207,0.1787231158,0.1292195791,0.0221402195,0.1472749967,0.0830332555,0.0007263697,0.0009669257,0.8696868829,1941.8097230907,0.7155915895,0.2071086998,0.0043018275,26.8494840933,0.0484491176,0.0560499815,7.8176153777,139.0344450504
8.2410301395,0.1898660874,0.1060268974,0.0357918,0.1588457149,0.1018953456,0.0006382652,0.0010887553,0.7878221129,1727.465839163,0.4500765874,0.2952188914,0.0062463231,32.3891816119,0.0607611391,0.0599040924,8.2643172646,216.2242292018
9.4040005846,0.12499372,0.153033547,0.0271476817,0.1358865854,0.0845639217,0.0007997773,0.0010364326,1.0233125508,1200.8351133251,0.7483196825,0.3349796799,0.0041257014,23.9148958562,0.0398434468,0.0807497417,10.3341623473,156.3107820392
9.5668029831,0.1247374898,0.1466616495,0.0343089115,0.1368479653,0.1049708591,0.0006367673,0.0010026568,1.050006758,1890.3526254099,0.5984313306,0.3276379061,0.0055568605,32.087456566,0.0553903458,0.0577793029,12.3994633572,205.6372341381
6.4284240281,0.174545359,0.1249855566,0.0353460099,0.1146818267,0.089805224,0.0007476511,0.0010550662,1.0783281658,1639.1176571873,0.6202605792,0.2706527093,0.0048127794,23.4975407562,0.0502590917,0.0826644257,11.812461006,185.3172443401
6.6313758417,0.1284111551,0.1381777257,0.0306251079,0.1284250583,0.1045094461,0.0007128769,0.001394971,0.7736009899,1298.7599595277,0.5524091001,0.3233503145,0.0040427661,31.2340681539,0.056976559,0.0668175937,10.9314130563,148.2829429626
9.2596385805,0.172314897,0.1203813368,0.0360714404,0.1201125315,0.0822468924,0.0006096006,0.0011317121,0.8867052632,1990.7256581334,0.5464713602,0.31523806,0.0037625044,36.4081836738,0.0509432585,0.0697184754,11.5751599575,150.1581193903
8.5817126266,0.2046114036,0.1428688056,0.0252290932,0.1510561205,0.0985628644,0.0005462284,0.0009309433,0.8234935761,1603.316313799,0.4957185093,0.2297596301,0.0062368328,28.6891225785,0.0420859616,0.0563492627,11.8659729013,207.4915212356
6.7403705533,0.1951994379,0.1311664298,0.0355688697,0.1056064514,0.11160927,0.0008423874,0.0008822451,0.7742560538,1805.3265463972,0.4922433554,0.2198168428,0.0059473761,22.664315316,0.0421848231,0.0540402198,11.2498267442,169.0423857584
8.1333973465,0.1552484571,0.131854899,0.0278392803,0.1354595418,0.0941856673,0.000679809,0.0009135693,1.2228625071,1407.8099689091,0.5393968494,0.2066141801,0.0044787288,35.4386141517,0.0606940758,0.0589679413,12.3556920101,218.587179583
6.1651237852,0.1991135345,0.1194332918,0.0328261593,0.1520576622,0.1077665247,0.0006293666,0.001117422,0.8748717832,1948.78609584,0.5783051899,0.2736632016,0.0055824235,28.7015364267,0.038549542,0.0796871044,10.2331122459,203.7332885368
7.0898487489,0.1725476922,0.1369798723,0.0335361864,0.0981664044,0.1057615185,0.0007483744,0.001111749,1.1196960419,1437.3838810389,0.4816535124,0.2265893641,0.0039757842,28.50821876,0.0553556966,0.0626853422,11.8981439868,150.3684186374
6.1125941918,0.1657664626,0.1212491765,0.0310032823,0.1543461986,0.0695525976,0.0006219044,0.0011760543,1.0338924211,1809.9130745763,0.5322565923,0.2138632156,0.0047361301,31.3929617995,0.0453420647,0.061681455,8.1167969594,186.0796467749
7.8293413226,0.2014058588,0.1343858077,0.0334738803,0.1528935648,0.0740516807,0.0007568401,0.0013489608,1.1825277334,1372.0326214269,0.4761588366,0.3035977559,0.0054552465,32.8001806178,0.0495835753,0.0679530216,12.0536538572,165.6000457492
6.9560005078,0.1650477833,0.1049168541,0.0277496533,0.1196615339,0.0764456118,0.0006073089,0.0011515327,0.8929941081,1909.3093374248,0.5231968291,0.3172819498,0.0039862847,31.2764992523,0.0526952358,0.0674479932,9.9983081075,215.4733516563
9.3788665694,0.1673855252,0.1040471109,0.0317387242,0.1384723681,0.068671257,0.0007786655,0.0011084818,0.9634006621,1844.717346277,0.5651966778,0.2749850734,0.004178605,25.1861259933,0.0603570974,0.0556223752,12.1585780551,164.6032229163
6.904626225,0.1365364306,0.1061068731,0.0274372312,0.1150386369,0.0715250751,0.0007895534,0.001050673,0.7701822283,1695.500776199,0.502722989,0.3014976199,0.0037532769,36.8076201702,0.059594557,0.0729026877,11.7926394497,193.1047442512
8.4882184626,0.1415531656,0.1355675584,0.0285268352,0.1004124906,0.0712185197,0.0007165803,0.0011535042,1.196351148,1248.8520477614,0.6074899585,0.2876040856,0.0048114897,34.8437943384,0.0545526583,0.0749694625,7.5671968923,147.2631963311
8.2372603881,0.1864969348,0.1188017239,0.0341517848,0.1148632148,0.1072103879,0.0006856502,0.0008777009,1.2136585488,1815.7373704026,0.7346801348,0.2290729478,0.0055173013,26.7296652772,0.0524685246,0.0786808454,7.7698614943,220.6670795128
6.3223592095,0.1301051226,0.1177193279,0.024421665,0.1275815878,0.0712474983,0.0007877948,0.0012151776,0.8896216973,1714.7881997578,0.7293963515,0.3424629422,0.0039815867,29.3029306678,0.0576419767,0.0566525296,12.452581847,136.786798703
8.5997141586,0.1744321141,0.147603332,0.0268483632,0.1016993962,0.0811932833,0.0007653445,0.0012320021,0.8763757088,1507.733315675,0.5799796952,0.2240644048,0.0050140029,34.9206222075,0.0568850999,0.083875327,9.6425781085,153.977781653
7.0191813492,0.2054103261,0.1420573459,0.0331274774,0.1287080812,0.1076595733,0.000646563,0.0008605973,1.1891989717,1352.1869603886,0.6324175618,0.2454247816,0.0040694184,36.9765203768,0.0484656431,0.059571763,9.4223421817,159.8507873892
8.4557225164,0.1783528624,0.1340275114,0.0314621317,0.0997659345,0.0918209971,0.0007381148,0.0011215823,0.8389199993,1229.7979187826,0.675715202,0.309823846,0.0055471166,28.264853047,0.0404973115,0.0604786212,9.3382310111,155.3547193041
8.9124196813,0.1468333624,0.1379258877,0.0300548863,0.1597190097,0.0871243548,0.0005568542,0.0010844034,0.949944939,1930.855157662,0.5070900024,0.2536634677,0.0060556592,23.6358626211,0.0569639332,0.0632030671,8.227087454,150.6191975835
6.6624149929,0.1675266448,0.1069609558,0.0228507565,0.1162023925,0.0734818284,0.0005088635,0.0011858635,1.1993331954,1341.5443685896,0.6328830753,0.2982681628,0.0045974922,35.1644086519,0.0612569361,0.0745676904,8.7683344012,183.165941504
6.5029768223,0.2034506962,0.1021303006,0.0324080476,0.1519533326,0.0708831759,0.0005929879,0.0013106072,0.8164667174,1713.7186651007,0.6883263991,0.2980756825,0.0046319226,27.5367611472,0.0420040354,0.086200925,10.1786058654,152.7988092865
8.7558372082,0.1621029056,0.0960048286,0.0274915813,0.1367284262,0.0976030031,0.0007479209,0.0010372428,0.8583437497,1675.8416587378,0.5048537281,0.2964723242,0.0061424532,36.2842934574,0.0518199038,0.0771724078,10.9987306585,207.8453509089
6.9286771526,0.1697200479,0.1478202597,0.027710913,0.1036873817,0.1058819311,0.0005360996,0.0011905174,1.0412385623,1955.182572751,0.5192551467,0.2318901399,0.0049401663,34.7245911031,0.0567582347,0.0552804984,9.712689068,210.3980396168
9.3123138874,0.1837922973,0.1395705265,0.0266431777,0.1580886135,0.077427266,0.0008279058,0.0012364355,1.1711120099,1215.8741958732,0.6966802501,0.2746671379,0.0055934475,30.0578560515,0.047103813,0.0639649685,10.6083959217,222.7655852235
6.6722940967,0.1962307504,0.1103601465,0.0300079201,0.1186259217,0.083476028,0.0005487186,0.001311555,1.0060956791,1900.0801487265,0.6851589149,0.3257250863,0.0046914017,25.334363034,0.0458351216,0.0745182605,9.7632415696,163.6242453059
9.6436741506,0.1834399711,0.1404081616,0.0316622665,0.1090138288,0.0823503855,0.0008149593,0.0008492414,1.2118193369,1507.1841814795,0.6312287784,0.231652355,0.0056702614,22.7913634114,0.0578669759,0.0629006657,9.1171614475,223.9394812168
6.2207571626,0.1805273018,0.1289222967,0.0300364577,0.1462620344,0.1068307752,0.000514101,0.0010878323,0.8215825611,1787.1848486292,0.5470009727,0.257390181,0.0040914347,25.2950710131,0.0425703249,0.0604133084,9.8322556161,147.7667232829
9.6119783274,0.1859644118,0.1494570823,0.0305293209,0.13525429,0.0936505089,0.0005993867,0.0013434148,1.1184764448,1713.454799644,0.5576815022,0.2637253263,0.0043648611,29.4198328566,0.0494278446,0.0856607999,8.671791655,211.1403179985
7.7030881609,0.2041474053,0.1362899488,0.0244737346,0.1497648458,0.0856006663,0.00062869,0.0011199767,0.7544096001,1714.073218388,0.478177312,0.2657981077,0.0061210706,33.4363667311,0.042753918,0.0823623315,11.2988921234,186.8532598815
7.3273431488,0.1343127568,0.1286399131,0.0262313011,0.1013846276,0.1084584755,0.0008269621,0.0012335156,1.0975508287,1647.6534149357,0.6148057078,0.3003473764,0.004305071,23.2301086324,0.0540455453,0.0814786082,8.2132255482,176.6924428435
9.6238487261,0.1991881443,0.1297275339,0.0339351894,0.1521007421,0.0681341566,0.000556647,0.0013335682,1.0692417867,1604.8035775152,0.5736990622,0.2400204624,0.0048282361,29.7415599041,0.0535317066,0.054875889,10.380815451,173.8514215749
7.293424045,0.2042772919,0.1154948807,0.0298801199,0.1327568516,0.0715581201,0.0005888571,0.0009069256,0.8273582987,1378.8644802444,0.7100698767,0.2913536681,0.0054245427,28.5175966296,0.0398998493,0.0774973104,7.9752589456,163.0331518004
6.7354727224,0.2051524281,0.0997311648,0.0361038937,0.1458240623,0.0848532502,0.0008152599,0.0013169024,1.1801484043,1225.5532154976,0.7377636682,0.276769808,0.0054162721,36.1771202655,0.0412211489,0.0730361522,10.1637500506,220.7840513879
9.084991686,0.134064243,0.0972129362,0.0265583925,0.1193736908,0.0782266152,0.0008060986,0.0013990441,0.9688695992,1348.5616520078,0.7114609932,0.2802064998,0.0043474861,35.024029539,0.0591274353,0.0775549527,11.6280463173,197.9942543507
7.6355992878,0.1982220391,0.1200380574,0.0297115449,0.111819966,0.0978305734,0.0006697974,0.0009881609,0.9344435385,1885.4546760648,0.6416190649,0.2414132785,0.0054296103,29.2586852127,0.0458632971,0.077061064,8.5244943935,203.4194334104
7.1584929911,0.1485590153,0.1375491527,0.0264079756,0.1258256591,0.0684170064,0.0005307242,0.0013935409,0.9848762569,1232.4312083037,0.6470770961,0.2754932664,0.0049623024,33.7436410234,0.0581004422,0.0649312745,9.2550479055,198.2888881556
7.7322947049,0.1934418557,0.115727289,0.0252402501,0.1002322981,0.073023944,0.0005785269,0.0012640285,1.2049982017,1528.7111393047,0.7234173108,0.3120439237,0.0049744557,36.3502153253,0.0550088575,0.0649022932,10.1837247869,179.3234509935
8.1494430587,0.1459112664,0.149578258,0.0257858149,0.1081103886,0.1123069479,0.0005281691,0.0012838303,1.0401343732,1442.0927565704,0.4794695393,0.3079469126,0.0060523184,33.9578988918,0.0562225982,0.0832008496,10.1912813237,142.2011164601
6.0361163413,0.1630566893,0.1220194035,0.0240741182,0.1048991157,0.0741559476,0.0007726402,0.0013662473,1.1094424869,1371.1659321679,0.578432446,0.2133442583,0.0057251803,26.7559092097,0.051781677,0.085950515,8.4364762755,207.2429753384
8.2795812285,0.1602741233,0.1328234273,0.0307030218,0.101332958,0.0793566674,0.0008287122,0.0009516331,1.055342495,1353.8629976506,0.5871506697,0.2842979967,0.0059734376,22.8828895819,0.0404603526,0.0623053979,9.2213655224,189.0097486767
9.1323680926,0.1562499273,0.1021654308,0.036214765,0.1428755257,0.0873892606,0.0007496077,0.0009107734,1.1328967624,1564.371849818,0.6073284517,0.3156975235,0.0047862685,31.0792799855,0.0425429527,0.056552671,8.5479102526,164.089510782
7.3828945485,0.1949885147,0.1201020292,0.0276371523,0.1548216693,0.1037341235,0.0006621615,0.0010702422,0.8966444985,1345.0718791298,0.51359915,0.3052292753,0.0042393946,23.129768912,0.0491690756,0.0818756637,8.9665257002,199.4087003309
8.5886458993,0.1565094665,0.1346733651,0.0321354113,0.1460524814,0.0700495026,0.0008285106,0.000926192,0.9224255253,1281.4447194712,0.4938357874,0.2500974681,0.0050587885,30.4372120927,0.0489943748,0.0837128876,8.5075158668,141.9785936317
9.6948114082,0.1583112778,0.1311004527,0.0284726341,0.1286607092,0.0964160849,0.0007020115,0.0012357201,0.7918560348,1970.0850377817,0.5560995746,0.2851627939,0.0040664411,35.9050120445,0.0416053002,0.0720886841,12.0129073603,159.127704652
8.487061444,0.1844199509,0.1108576427,0.0316463062,0.1107117872,0.071974023,0.0006916244,0.0012920769,0.8486108144,1657.6230034467,0.5580545006,0.300902075,0.0043671939,28.3441064667,0.0473728435,0.0568817482,8.2110696712,154.4201320634
7.7453175386,0.1799580819,0.1546982461,0.0224436948,0.1207120231,0.0755662318,0.0006574361,0.0010124663,0.8611887318,1267.0814451376,0.4573268929,0.2261610048,0.0054900544,23.7092994338,0.0427965129,0.0776785351,11.1903646007,209.1862194755
9.4451422401,0.149328634,0.1462983822,0.0288431583,0.1530555358,0.1001503123,0.0007156109,0.0013362056,0.8566111782,1495.3449519933,0.5294503956,0.2642579768,0.0038028101,30.8587529584,0.0449531206,0.0814776286,9.2823221468,205.3981938905
9.215962844,0.1636081536,0.1441610116,0.0255326811,0.1322422233,0.1007365087,0.0007750788,0.0012152257,1.1984771899,1505.5546367101,0.4920277511,0.3086682038,0.0051887857,26.402427085,0.0494532749,0.0807900209,10.5850545975,201.8457486158
