PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
0.000117334,1.02983,0.0889546,0.00151375,0.978243,0.046416,1.1071,0.0598068,0.000804881,0.24496,102.821,0.414988,2.81632,1.68169,0.0989866,0.23502,0.297638,28.5507,0.0306796,-1.70938,1.80667,0.00866182,0.584976,2.3777,1.1137,4.08292,3.0998
0.000118088,0.678381,0.0477944,0.00153062,0.434757,0.0414273,1.12106,0.0424014,0.000814624,0.23147,137.176,0.494333,2.1593,1.80972,0.129697,0.181063,0.388222,19.4072,0.0173227,-3.49228,2.57295,0.00463483,0.907395,2.03192,0.886127,4.72958,2.37106
8.30924e-05,1.2811,0.0866337,0.00224316,0.385439,0.0695391,1.20139,0.033442,0.000979005,0.230607,92.3301,0.467238,2.8518,2.47815,0.120397,0.141005,0.351732,19.3456,0.0255647,-1.22106,2.06367,0.0127495,0.673701,2.28312,0.723007,8.63419,2.45784
6.85921e-05,1.08663,0.0651626,0.00186925,0.412964,0.0270449,1.10754,0.0449424,0.000669989,0.143775,170.176,0.443787,2.5896,2.71684,0.0756057,0.310088,0.651145,26.556,0.0110534,-3.12354,1.83591,0.011522,0.369318,2.62935,0.614092,5.36795,4.23723
7.53116e-05,1.08784,0.0759328,0.00144509,0.692649,0.033289,1.17776,0.0272543,0.000558318,0.1599,89.5408,0.245157,1.82184,2.84311,0.0568571,0.181927,0.710402,17.2712,0.0231667,-2.71375,2.7592,0.0084219,0.460708,1.98681,0.871558,4.08829,4.42622
0.000124238,1.33581,0.0702719,0.00194729,0.946819,0.0323423,1.46573,0.0529383,0.000840705,0.161704,62.2296,0.484474,1.80658,2.95615,0.0620731,0.176325,0.361147,23.3828,0.0128032,-1.42734,2.52648,0.0123715,0.536625,2.54516,0.968707,9.56175,3.91263
0.000137641,1.18415,0.0960663,0.00248003,0.318905,0.0278745,1.04608,0.0603777,0.000786973,0.11474,149.947,0.20609,2.12012,2.6828,0.0847449,0.248575,0.331272,16.6006,0.0107625,-3.34553,3.25207,0.00526179,0.91631,3.26086,1.03862,9.77462,4.39793
9.59601e-05,0.920776,0.0718124,0.00194891,0.351764,0.0321718,1.09881,0.0621615,0.000555965,0.136289,81.739,0.402089,1.78848,1.54406,0.132186,0.237264,0.431202,22.5509,0.0208917,-2.5796,2.66994,0.0116342,0.663479,1.99078,1.11972,5.46896,2.71942
8.45611e-05,0.864019,0.0510312,0.00171356,0.289126,0.0283424,1.16176,0.0478672,0.000890763,0.119375,154.778,0.354823,2.85516,2.30187,0.0883118,0.238905,0.291106,34.4944,0.0242603,-1.69502,2.21583,0.00873264,0.614024,2.59785,0.592291,5.23714,3.43179
0.000130867,0.902315,0.0575597,0.00205238,0.536996,0.0381744,0.796566,0.032046,0.000966494,0.139266,131.217,0.190083,3.01924,2.69033,0.118979,0.280421,0.495863,19.3797,0.0146113,-3.54863,1.40693,0.0107947,0.672043,3.30069,0.904131,7.38461,4.20348
0.00010374,0.623638,0.0363766,0.00156456,0.33681,0.0275031,0.699463,0.0255226,0.000898995,0.110889,125.933,0.393413,1.75374,2.94619,0.0789205,0.12743,0.311422,34.6284,0.0162086,-1.41102,2.8631,0.00433645,0.49443,2.04355,0.614282,8.85723,2.73832
9.1967e-05,1.35103,0.0782813,0.00102726,0.564046,0.0377672,1.17578,0.0558603,0.00088684,0.159295,77.3934,0.516595,2.91256,2.33295,0.147668,0.238221,0.541443,14.2837,0.0186725,-1.51098,2.09824,0.00714131,0.636129,3.19033,0.514392,4.31442,4.2933
0.00013734,1.30115,0.0855525,0.00299994,0.313004,0.0334866,0.78446,0.0356878,0.000835627,0.276589,82.3124,0.399139,2.77107,1.29157,0.124758,0.171196,0.408059,30.8843,0.0169537,-2.38265,2.85794,0.00966826,0.802355,1.67589,1.14491,3.62215,2.62111
4.50064e-05,0.959674,0.0659176,0.00137099,0.391388,0.0341563,1.0861,0.0258077,0.000670689,0.199192,80.1517,0.213237,2.87976,1.95166,0.0726692,0.346053,0.746144,27.7596,0.0113032,-2.62423,2.33322,0.0110877,0.843842,1.54072,0.701037,3.52314,2.67179
7.62891e-05,0.893982,0.0705323,0.00126169,0.397786,0.0513462,1.11868,0.0324445,0.000893896,0.29536,98.0055,0.300469,2.13006,1.64554,0.0850819,0.193919,0.573708,27.9765,0.0211051,-3.3817,1.49789,0.00487227,0.838898,3.02347,1.15349,7.86293,2.6066
8.03528e-05,0.929538,0.0570121,0.00180539,0.328933,0.0522184,1.33978,0.0288684,0.000966437,0.221666,167.079,0.187719,2.92856,2.7841,0.077325,0.321757,0.258261,16.7887,0.0188702,-2.32659,2.96535,0.00563897,0.528289,2.52842,0.850735,6.4313,2.80362
0.000103198,1.07323,0.0877148,0.00319215,0.389802,0.0346112,1.2434,0.0257082,0.000790018,0.163087,132.942,0.468298,2.76774,1.21547,0.092351,0.136822,0.489913,34.4288,0.0301626,-3.14741,2.87008,0.00986609,0.837813,2.65756,1.15154,5.47229,3.47
0.000111248,0.823208,0.0703403,0.00158939,0.672297,0.0498597,1.21063,0.0499619,0.000893871,0.202527,132.363,0.367085,2.1859,2.57634,0.12148,0.253692,0.664532,16.6603,0.0276697,-1.65876,2.18158,0.005122,0.323809,2.84488,0.908588,7.88207,1.61587
0.000123637,1.05228,0.0938815,0.00123986,0.262967,0.0549605,1.28593,0.0377126,0.000968762,0.212968,117.323,0.406418,2.72363,2.69865,0.101784,0.222943,0.380407,35.234,0.017475,-3.28194,2.17652,0.00603483,0.391022,3.24278,0.984137,5.42426,3.49205
0.000125022,1.17022,0.0699258,0.0023677,0.623753,0.0375247,1.34533,0.0557096,0.000909508,0.142043,79.788,0.475405,1.36128,2.06502,0.0963385,0.318,0.595183,22.6556,0.0251751,-1.32035,2.86568,0.00959693,0.34017,2.4841,0.992994,10.4358,3.97823
